GenValnCl.,Type,Agency code,Master Agreement,Instrument,Transaction No.,Contract name,External Ref.,Contract signed date,Starting date ,End date,Interest,floating rate,Debt Outstanding 08/2020,Disbursement,Principal Paid/roll/refi/switch,Interest Paid,Fee paid,Debt Outstanding 09/2020,TCurr,Lenders/Counterparty,Fin.Proj.,PTyp,TTyp,Reference 2,Purpose,duration(day),remaining maturity (day)
1,Def,309,G00A01,BOND,1000191,GOVERNMENT BOND 2546/2,LB22NA,11/08/02,11/08/02,11/08/22,5.125,,7000000000,0,0,0,,7000000000,THB,ISIV,,55A,20D,,New Issue,7305,769
1,Def,309,G00A01,BOND,1000194,GOVERNMENT BOND 2546/5 (RE-OPEN 2546/2)(1),LB22NA,11/08/02,11/08/02,11/08/22,5.125,,9000000000,0,0,0,,9000000000,THB,ISIV,,55A,20D,,New Issue,7305,769
1,Def,309,G00A01,BOND,1000196,GOVERNMENT BOND 2546/8 (RE-OPEN 2546/2)(2),LB22NA,11/08/02,11/08/02,11/08/22,5.125,,10000000000,0,0,0,,10000000000,THB,ISIV,,55A,20D,,New Issue,7305,769
1,Def,309,G00C01,BOND,1000206,DEBT MGT. GOV. BOND 2550/5,LB244A,04/09/07,04/09/07,04/09/24,4.5,,31000000000,0,0,0,,31000000000,THB,ISIV,,55A,20D,????????????,Refinance,6210,1287
1,Def,309,G51A01,BOND,1000492,GOVERNMENT BOND 2551/4,LB233A,12/28/07,12/28/07,03/13/23,5.5,,6000000000,0,0,166356164.38,,6000000000,THB,ISIV,,55A,20D,,New Issue,5554,894
1,Def,309,G51A01,BOND,1000584,GOVERNMENT BOND 2551/8 (RE-OPEN 2551/4),LB233A,12/28/07,12/28/07,03/13/23,5.5,,6050000000,0,0,167742465.75,,6050000000,THB,ISIV,,55A,20D,,New Issue,5554,894
1,Def,309,G51A01,BOND,1000491,GOVERNMENT BOND 2551/3,LB283A,11/30/07,11/30/07,03/13/28,5.67,,6000000000,0,0,171498082.19,,6000000000,THB,ISIV,,55A,20D,,New Issue,7409,2721
1,Def,309,G51A01,BOND,1000503,GOVERNMENT BOND 2551/6 (RE-OPEN 2551/3),LB283A,11/30/07,11/30/07,03/13/28,5.67,,6000000000,0,0,171498082.19,,6000000000,THB,ISIV,,55A,20D,,New Issue,7409,2721
1,Def,309,G51A01,BOND,1000661,GOVERNMENT BOND 2551/11 (RE-OPEN 2551/3),LB283A,11/30/07,11/30/07,03/13/28,5.67,,6000000000,0,0,171498082.19,,6000000000,THB,ISIV,,55A,20D,,New Issue,7409,2721
1,Def,309,G51A01,BOND,1000585,GOVERNMENT BOND 2551/9,LB383A,04/25/08,04/25/08,03/13/38,5.5,,5000000000,0,0,138630136.98,,5000000000,THB,ISIV,,55A,20D,,New Issue,10914,6373
1,Def,309,G51C01,BOND,1000535,DEBT MGT. GOV. BOND 2551/2 (RE-OPEN GB 2551/4),LB233A,12/28/07,12/28/07,03/13/23,5.5,,6000000000,0,0,166356164.38,,6000000000,THB,ISIV,,55A,20D,,Refinance,5554,894
1,Def,309,G51C01,BOND,1000643,DEBT MGT. GOV. BOND 2551/6 (RE-OPEN GB 2551/4),LB233A,12/28/07,12/28/07,03/13/23,5.5,,6000000000,0,0,166356164.38,,6000000000,THB,ISIV,,55A,20D,,Refinance,5554,894
1,Def,309,G51C01,BOND,1000559,DEBT MGT. GOV. BOND 2551/4 (RE-OPEN GB 2551/3),LB283A,11/30/07,11/30/07,03/13/28,5.67,,5950000000,0,0,170068931.5,,5950000000,THB,ISIV,,55A,20D,,Refinance,7409,2721
1,Def,309,G52A01,BOND,1000746,GOVERNMENT BOND 2552/4 (RE-OPEN 2551/4),LB233A,12/28/07,12/28/07,03/13/23,5.5,,5000000000,0,0,138630136.98,,5000000000,THB,ISIV,,55A,20D,,New Issue,5554,894
1,Def,309,G52A01,BOND,1000776,GOVERNMENT BOND 2552/8 (RE-OPEN 2551/4),LB233A,12/28/07,12/28/07,03/13/23,5.5,,2650000000,0,0,73473972.6,,2650000000,THB,ISIV,,55A,20D,,New Issue,5554,894
1,Def,309,G52A01,BOND,1000814,GOVERNMENT BOND 2552/11 (RE-OPEN 2551/4),LB233A,12/28/07,12/28/07,03/13/23,5.5,,6000000000,0,0,166356164.38,,6000000000,THB,ISIV,,55A,20D,,New Issue,5554,894
1,Def,309,G52A01,BOND,1000885,GOVERNMENT BOND 2552/18 (RE-OPEN 2551/4),LB233A,12/28/07,12/28/07,03/13/23,5.5,,6000000000,0,0,166356164.38,,6000000000,THB,ISIV,,55A,20D,,New Issue,5554,894
1,Def,309,G52A01,BOND,1000717,GOVERNMENT BOND 2552/3 (RE-OPEN 2551/3),LB283A,11/30/07,11/30/07,03/13/28,5.67,,5000000000,0,0,142915068.49,,5000000000,THB,ISIV,,55A,20D,,New Issue,7409,2721
1,Def,309,G52A01,BOND,1000765,GOVERNMENT BOND 2552/6 (RE-OPEN 2551/3),LB283A,11/30/07,11/30/07,03/13/28,5.67,,14000000000,0,0,400162191.78,,14000000000,THB,ISIV,,55A,20D,,New Issue,7409,2721
1,Def,309,G52A01,BOND,1000832,GOVERNMENT BOND 2552/14 (RE-OPEN 2551/3),LB283A,11/30/07,11/30/07,03/13/28,5.67,,7000000000,0,0,200081095.89,,7000000000,THB,ISIV,,55A,20D,,New Issue,7409,2721
1,Def,309,G52A01,BOND,1000873,GOVERNMENT BOND 2552/17 (RE-OPEN 2551/3),LB283A,11/30/07,11/30/07,03/13/28,5.67,,5000000000,0,0,142915068.49,,5000000000,THB,ISIV,,55A,20D,,New Issue,7409,2721
1,Def,309,G52A01,BOND,1000851,GOVERNMENT BOND 2552/15,LB396A,06/26/09,06/26/09,06/13/39,5,,2500000000,0,0,0,,2500000000,THB,ISIV,,55A,20D,,New Issue,10944,6830
